"","6173","","The Periodic Table","Primo Levi","1975","Nonfiction","Science","History","4.14","14332","2022/03/25"
"","6174","Auschwitz Trilogy","Survival in Auschwitz","Primo Levi","1947","Nonfiction","History","World War II","4.29","61966","2022/03/25"
"","6175","Auschwitz Trilogy","The Reawakening","Primo Levi","1963","Nonfiction","History","World War II","4.29","4595","2022/03/25"
"","6176","Auschwitz Trilogy","The Drowned and the Saved","Primo Levi","1986","Nonfiction","History","World War II","4.44","7168","2022/03/25"
"","6177","Auschwitz Trilogy","Moments of Reprieve: A Memoir of Auschwitz","Primo Levi","1981","Nonfiction","History","World War II","4.24","932","2022/03/25"
"","6178","Auschwitz Trilogy","If This Is a Man & The Truce","Primo Levi","1987","Nonfiction","History","Biography","4.54","17509","2022/03/25"
"","6179","","Auschwitz Report","Primo Levi","1989","Nonfiction","World War II","Holocaust","4.01","352","2022/03/25"
"","6180","","The Monkey's Wrench","Primo Levi","1978","Fiction","European Literature","Italian Literature","3.9","1503","2022/03/25"
"","6181","Auschwitz Trilogy","If This Is a Man • The Truce","Primo Levi","","Nonfiction","History","Biography","4.54","17509","2022/03/25"
"","6182","","Primo Levi: A Life","Ian Thomson","1999","Biography","Nonfiction","Cultural","4.18","155","2022/03/25"
"","6183","","Wuthering Heights","Emily Brontë","1847","Classics","Fiction","Romance","3.87","1541983","2022/03/25"
"","6184","","Wuthering Heights","Emily Brontë","1847","Classics","Fiction","Romance","3.87","1541995","2022/03/25"
"","6185","","Wuthering Heights","Emily Brontë","1847","Classics","Fiction","Romance","3.87","1541995","2022/03/25"
"","6186","","Wuthering Heights","Emily Brontë","1847","Classics","Fiction","Romance","3.87","1541995","2022/03/25"
"","6187","","CliffsNotes on Bronte's Wuthering Heights","Richard P. Wasowski","","","","","4.0","38","2022/03/25"
"","6188","","Wuthering Heights","Emily Brontë","1847","Classics","Fiction","Romance","3.87","1541995","2022/03/25"
"","6189","","","","","","","","","","2022/03/25"
"","6190","","","","","","","","","","2022/03/25"
"","6191","","","","","","","","","","2022/03/25"
"","6192","","Disgrace","J.M. Coetzee","1999","Fiction","Cultural","Africa","3.84","95336","2022/03/25"
"","6193","","Life and Times of Michael K","J.M. Coetzee","1983","Fiction","Cultural","Africa","3.86","17252","2022/03/25"
"","6194","","Waiting for the Barbarians","J.M. Coetzee","1980","Fiction","Cultural","Africa","3.94","28060","2022/03/25"
"","6195","","The Bookclub-in-a-Box Discussion Guide to Disgrace, the Novel by J.M. Coetzee","Marilyn Herbert","2005","","","","4.67","3","2022/03/25"
"","6196","","Critical Essays on World Literature Series - J.M. Coetzee (Critical Essays on World Literature Series)","Sue Kossew","","","","","4.0","3","2022/03/25"
"","6197","The University Center for Human Values Series","The Lives of Animals","J.M. Coetzee","1999","Fiction","Philosophy","Animals","3.7","2869","2022/03/25"
"","6198","Scenes from Provincial Life","Boyhood: Scenes from Provincial Life","J.M. Coetzee","1997","Fiction","Cultural","Africa","3.79","4807","2022/03/25"
"","6199","","In the Heart of the Country","J.M. Coetzee","1977","Fiction","Cultural","Africa","3.69","3206","2022/03/25"
"","6200","Scenes from Provincial Life","Youth","J.M. Coetzee","2002","Fiction","Cultural","Africa","3.78","6958","2022/03/25"
"","6201","","The Master of Petersburg","J.M. Coetzee","1994","Fiction","Historical","Historical Fiction","3.63","3433","2022/03/25"
"","6202","","Stranger Shores: Literary Essays","J.M. Coetzee","2001","Writing","Essays","Nonfiction","3.89","334","2022/03/25"
"","6203","","The Nobel Lecture in Literature, 2003","J.M. Coetzee","2003","Nonfiction","Short Stories","Nobel Prize","3.71","157","2022/03/25"
"","6204","","J.M. Coetzee and the Ethics of Reading: Literature in the Event","Derek Attridge","","","","","4.0","31","2022/03/25"
"","6205","","Dusklands","J.M. Coetzee","1974","Fiction","Cultural","Africa","3.48","1626","2022/03/25"
"","6206","","Elizabeth Costello","J.M. Coetzee","2003","Fiction","Literature","Novels","3.45","8463","2022/03/25"
"","6207","","Age of Iron","J.M. Coetzee","1990","Fiction","Southern Africa","South Africa","3.84","4340","2022/03/25"
"","6208","","Piano: An Easy Guide to Reading Music, Playing Your First Piece, Enjoying Your Piano","Chris Coetzee","2004","","","","3.33","6","2022/03/25"
"","6209","","Life After Death: New Leipzig Paintings from the Rubell Family Collection","Mark Coetzee","","","","","5.0","1","2022/03/25"
"","6210","","Foe","J.M. Coetzee","1986","Fiction","Classics","Historical","3.43","9911","2022/03/25"
"","6211","","Inner Workings: Literary Essays 2000-2005","J.M. Coetzee","2007","Writing","Essays","Nonfiction","4.06","569","2022/03/25"
"","6212","","Cosmopolitan Fictions: Ethics, Politics, and Global Change in the Works of Kazuo Ishiguro, Michael Ondaatje, Jamaica Kincaid, and J.M. Coetzee","Katherine Stanton","","","","","2.0","1","2022/03/25"
"","6213","","Writing Out of All the Camps: J.M. Coetzee's Narratives of Displacement","Laura Wright","2006","","","","3.0","1","2022/03/25"
"","6214","Perspectives on Southern Africa","J.M. Coetzee: South Africa and the Politics of Writing","David Attwell","1993","","","","3.36","25","2022/03/25"
"","6215","","Disgrace","J.M. Coetzee","1999","Fiction","Cultural","Africa","3.84","95336","2022/03/25"
"","6216","Kristin Lavransdatter","The Wife","Sigrid Undset","1921","Historical","Historical Fiction","Fiction","4.14","3279","2022/03/25"
"","6217","Kristin Lavransdatter","Kristin Lavransdatter","Sigrid Undset","1920","Historical","Historical Fiction","Fiction","4.29","10180","2022/03/25"
"","6218","The Master of Hestviken","The Axe","Sigrid Undset","1925","Historical","Historical Fiction","Fiction","4.23","670","2022/03/25"
"","6219","Kristin Lavransdatter","The Cross","Sigrid Undset","1922","Historical","Historical Fiction","Fiction","4.3","2621","2022/03/25"
"","6220","Kristin Lavransdatter","The Wreath","Sigrid Undset","1920","Historical","Historical Fiction","Classics","4.02","6252","2022/03/25"
"","6221","Kristin Lavransdatter","The Mistress of Husaby","Sigrid Undset","1921","Historical","Historical Fiction","Fiction","4.14","3279","2022/03/25"
"","6222","","Jenny","Sigrid Undset","1911","Classics","Fiction","European Literature","3.84","859","2022/03/25"
"","6223","","Sigrid Undset in America: An Annotated Bibliography and Research Guide","Marie Maman","","","","","0.0","0","2022/03/25"
"","6224","","The Unknown Sigrid Undset: Jenny and Other Works","Sigrid Undset","2001","Short Stories","Classics","Literature","4.19","57","2022/03/25"
