"2179","","A Sentimental Education","Gustave Flaubert","1869","Classics","Fiction","Cultural","3.83","19592","2022/03/20"
"2180","","Madame Bovary","Gustave Flaubert","1856","Classics","Fiction","Cultural","3.69","287586","2022/03/20"
"2181","","The George Sand-Gustave Flaubert Letters","George Sand","1921","Nonfiction","Biography","Cultural","4.12","311","2022/03/20"
"2182","","Three Tales","Gustave Flaubert","1877","Fiction","Short Stories","Classics","3.67","5908","2022/03/20"
"2183","","Sentimental Education","Gustave Flaubert","1869","Classics","Fiction","Cultural","3.83","19592","2022/03/20"
"2184","","Salammbô","Gustave Flaubert","1862","Classics","Fiction","Cultural","3.73","4939","2022/03/20"
"2185","","The Dictionary of Accepted Ideas","Gustave Flaubert","1913","Nonfiction","Cultural","France","3.82","1113","2022/03/20"
"2186","The Family Idiot","The Family Idiot 5: Gustave Flaubert 1821-1857","Jean-Paul Sartre","1977","Biography","","","4.0","6","2022/03/20"
"2187","","Middlesex","Jeffrey Eugenides","2002","Fiction","Historical","Historical Fiction","4.02","609638","2022/03/20"
"2188","","","","","","","","","","2022/03/20"
"2189","","Sex in Middlesex: Popular Mores in a Massachusetts County, 1649-1699","Roger Thompson","1986","History","","","3.37","19","2022/03/20"
"2190","","A Place in Time: Middlesex Country, Virginia, 1650-1750","Darrett B. Rutman","1984","History","","","3.65","20","2022/03/20"
"2191","","Official Arrow Street Atlas, Middlesex County, Massachusetts.","Arrow Map Inc","1998","","","","0.0","0","2022/03/20"
"2192","","A Mouth Like Yours","Daniel Duane","2005","","","","2.67","27","2022/03/20"
"2193","","Surfers: Photographs","Daniel Duane","1997","","","","1.0","1","2022/03/20"
"2194","","Lighting Out: A Vision of California and the Mountains","Daniel Duane","1994","Mountaineering","Climbing","Environment","3.88","69","2022/03/20"
"2195","","Looking for Mo","Daniel Duane","1998","","","","3.63","71","2022/03/20"
"2196","","El Capitan: Historic Feats and Radical Routes","Daniel Duane","","Mountaineering","Climbing","","3.85","33","2022/03/20"
"2197","","Enoch and Daniel: A Form Critical and Sociological Study of the Historical Apocalypses","Stephen Breck Reid","","","","","0.0","0","2022/03/20"
"2198","","Maverick's: The Story of Big-Wave Surfing","Matt Warshaw","","Nonfiction","Sports","Sports","4.15","60","2022/03/20"
"2199","","Team of Rivals: The Political Genius of Abraham Lincoln","Doris Kearns Goodwin","2005","History","Nonfiction","Biography","4.25","174223","2022/03/20"
"2200","","Team of Rivals: The Political Genius of Abraham Lincoln","Doris Kearns Goodwin","2005","History","Nonfiction","Biography","4.25","174223","2022/03/20"
"2201","","Team of Rivals: The Political Genius of Abraham Lincoln","Doris Kearns Goodwin","","History","Nonfiction","Biography","4.25","174223","2022/03/20"
"2202","","Team of Rivals: The Political Genius of Abraham Lincoln","Doris Kearns Goodwin","","History","Nonfiction","Biography","4.25","174223","2022/03/20"
"2203","","John Adams","David McCullough","2001","History","Biography","Nonfiction","4.05","342012","2022/03/20"
"2204","","The John Adams Reader: Eseential Writings on an American Composer","Thomas May","","Music","Writing","Essays","3.52","23","2022/03/20"
"2205","","The Letters of John and Abigail Adams","Abigail Adams","1840","History","Nonfiction","Biography","4.13","431","2022/03/20"
"2206","","The Adams-Jefferson Letters: The Complete Correspondence Between Thomas Jefferson and Abigail and John Adams","Lester J. Cappon","1959","History","North American Hi...","American History","4.28","1185","2022/03/20"
"2207","","John Adams: A Life","John Ferling","1992","Biography","History","Politics","4.16","1947","2022/03/20"
"2208","","John Adams and the Spirit of Liberty","C. Bradley Thompson","1998","History","Nonfiction","Politics","4.47","34","2022/03/20"
"2209","","Passionate Sage: The Character and Legacy of John Adams","Joseph J. Ellis","1993","History","Biography","North American Hi...","4.06","2945","2022/03/20"
"2210","","The Revolutionary John Adams","Cheryl Harness","2003","History","Biography","Nonfiction","4.04","92","2022/03/20"
"2211","","The Portable John Adams","John Adams","","History","Nonfiction","Politics","4.14","65","2022/03/20"
"2212","","The Bible Lessons of John Quincy Adams for His Son","Douglas W. Phillips","","History","Christian","Christian Living","3.68","25","2022/03/20"
"2213","","Relationships for Dummies","Kate M. Wachs","","Relationships","","","3.61","49","2022/03/20"
"2214","","Dating For Dummies","Joy Browne","1997","Nonfiction","Relationships","Self Help","3.13","127","2022/03/20"
"2215","","Raising Smart Kids for Dummies","Marlene Targ Brill","2003","","","","3.08","12","2022/03/20"
"2216","","Family Reunion Planning Kit for Dummies","Cheryl Fall","","","","","4.33","3","2022/03/20"
"2217","","Romance For Dummies","Ruth Westheimer","2001","","","","3.33","6","2022/03/20"
"2218","","Sex For Dummies","Ruth Westheimer","1995","Sexuality","Nonfiction","Reference","3.69","351","2022/03/20"
"2219","","Baby Signing For Dummies","Jennifer Watson","2006","Parenting","Nonfiction","","3.76","89","2022/03/20"
"2220","","Chronic Pain for Dummies","Stuart S. Kassan","2006","Nonfiction","","","3.84","25","2022/03/20"
"2221","","Your Baby's First Year for Dummies","James Gaylord","","Parenting","Childrens","Nonfiction","3.77","116","2022/03/20"
"2222","","The Feeling Good Handbook","David D. Burns","1989","Psychology","Self Help","Nonfiction","3.93","6271","2022/03/20"
"2223","","Growing Up Feeling Good: The Life Handbook for Kids","Ellen Rosenberg","1983","Psychology","Parenting","","4.25","8","2022/03/20"
"2224","","Personal Fitness: Looking Good-Feeling Good : Student Activity Handbook","Charles S. Williams","1992","","","","3.78","18","2022/03/20"
"2225","","Moods and Emotions: A Handbook About Feelings (Living the Good Life)","Ruth Shannon Odor","1980","","","","0.0","0","2022/03/20"
"2226","","On Death and Dying","Elisabeth Kübler-Ross","1969","Psychology","Nonfiction","Death","4.17","25244","2022/03/20"
"2227","","Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying","Elisabeth Kübler-Ross","1974","Psychology","Nonfiction","Death","4.08","249","2022/03/20"
